Date,eastshelb_total,eastshelb_ped_in,eastshelb_ped_out,eastshelb_cyc_in,eastshelb_cyc_out,hcc_total,hcc_ped_in,hcc_ped_out,hcc_cyc_in,hcc_cyc_out,shirley_total,shirley_ped_in,shirley_ped_out,shirley_cyc_in,shirley_cyc_out,southvernon_total,southvernon_ped_in,southvernon_ped_out,southvernon_cyc_in,southvernon_cyc_out,southside_total,southside_ped_in,southside_ped_out,southside_cyc_in,southside_cyc_out,northcreek_total,northcreek_ped_in,northcreek_ped_out,northcreek_cyc_in,northcreek_cyc_out,westhershey_total,westhershey_ped_in,westhershey_ped_out,westhershey_cyc_in,westhershey_cyc_out,westgrand_total,westgrand_ped_in,westgrand_ped_out,westgrand_cyc_in,westgrand_cyc_out,westrt9_total,westrt9_ped_in,westrt9_ped_out,westrt9_cyc_in,westrt9_cyc_out
16/04/2020,10,3,2,0,5,27,10,15,1,1,23,16,3,2,2,448,168,164,57,59,41,15,18,3,5,487,192,192,48,55,1054,748,226,41,39,475,174,170,67,64,40,12,9,9,10
17/04/2020,1,0,0,1,0,6,5,1,0,0,4,1,1,1,1,209,86,79,22,22,12,4,5,1,2,267,114,117,17,19,638,500,118,10,10,205,88,84,17,16,22,6,4,5,7
18/04/2020,19,5,2,8,4,50,18,12,9,11,5190,5134,31,10,15,1230,372,356,255,247,93,39,35,8,11,1239,388,408,224,219,2075,1223,473,178,201,1064,321,314,212,217,144,22,24,53,45
19/04/2020,122,38,15,42,27,81,36,27,8,10,97,31,12,32,22,1587,336,300,489,462,137,46,40,24,27,1576,397,332,471,376,2229,1051,411,389,378,1526,357,312,411,446,206,27,25,73,81
20/04/2020,35,3,2,18,12,43,15,22,4,2,30,13,3,6,8,966,254,227,246,239,100,41,36,15,8,1054,296,286,220,252,2008,1230,419,178,181,851,219,213,202,217,123,26,23,38,36
21/04/2020,8,2,1,4,1,28,12,14,0,2,15,6,4,3,2,912,267,273,195,177,93,37,35,10,11,1029,317,316,208,188,1872,1207,420,128,117,744,214,209,164,157,99,24,16,30,29
22/04/2020,160,122,4,19,15,65,26,18,9,12,136,122,1,8,5,1376,313,261,396,406,147,50,55,21,21,1500,354,372,370,404,2721,1524,564,323,310,1265,295,272,351,347,191,28,23,77,63
23/04/2020,16,6,0,9,1,23,10,10,1,2,10,1,2,5,2,647,193,187,140,127,77,29,28,12,8,645,212,183,124,126,747,417,114,125,91,584,149,164,132,139,63,15,11,20,17
24/04/2020,13,0,0,11,2,23,8,10,3,2,10,5,1,2,2,628,185,181,126,136,44,18,17,5,4,665,206,210,123,126,1025,629,210,104,82,599,182,173,122,122,64,11,7,24,22
25/04/2020,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,59,25,22,8,4,0,0,0,0,0,57,18,22,8,9,43,29,8,4,2,45,18,14,6,7,9,2,1,4,2
26/04/2020,133,86,2,33,12,72,17,24,11,20,82,21,15,25,21,1790,426,416,475,473,125,45,42,12,26,1793,473,455,439,426,2103,922,375,409,397,1677,429,407,413,428,223,30,27,88,78
