Date,,Trail West of Hershey,Trail West of Hershey Pedestrians,Trail West of Hershey Cyclists
7/8/2019,0:00,0,0,0
7/8/2019,1:00,0,0,0
7/8/2019,2:00,0,0,0
7/8/2019,3:00,0,0,0
7/8/2019,4:00,0,0,0
7/8/2019,5:00,0,0,0
7/8/2019,6:00,0,0,0
7/8/2019,7:00,0,0,0
7/8/2019,8:00,0,0,0
7/8/2019,9:00,0,0,0
7/8/2019,10:00,319,295,24
7/8/2019,11:00,651,629,22
7/8/2019,12:00,727,713,14
7/8/2019,13:00,604,577,27
7/8/2019,14:00,523,513,10
7/8/2019,15:00,591,570,21
7/8/2019,16:00,883,856,27
7/8/2019,17:00,861,804,57
7/8/2019,18:00,718,683,35
7/8/2019,19:00,530,498,32
7/8/2019,20:00,357,349,8
7/8/2019,21:00,213,211,2
7/8/2019,22:00,117,117,0
7/8/2019,23:00,51,51,0
8/8/2019,0:00,24,24,0
8/8/2019,1:00,13,13,0
8/8/2019,2:00,7,7,0
8/8/2019,3:00,7,7,0
8/8/2019,4:00,18,18,0
8/8/2019,5:00,89,84,5
8/8/2019,6:00,250,238,12
8/8/2019,7:00,546,527,19
8/8/2019,8:00,539,523,16
8/8/2019,9:00,402,375,27
8/8/2019,10:00,426,399,27
8/8/2019,11:00,608,594,14
8/8/2019,12:00,692,682,10
8/8/2019,13:00,571,555,16
8/8/2019,14:00,607,592,15
8/8/2019,15:00,405,400,5
8/8/2019,16:00,631,609,22
8/8/2019,17:00,690,661,29
8/8/2019,18:00,550,514,36
8/8/2019,19:00,436,401,35
8/8/2019,20:00,309,301,8
8/8/2019,21:00,174,169,5
8/8/2019,22:00,119,119,0
8/8/2019,23:00,66,66,0
9/8/2019,0:00,46,46,0
9/8/2019,1:00,18,18,0
9/8/2019,2:00,13,13,0
9/8/2019,3:00,14,14,0
9/8/2019,4:00,23,21,2
9/8/2019,5:00,91,88,3
9/8/2019,6:00,224,211,13
9/8/2019,7:00,492,481,11
9/8/2019,8:00,410,391,19
9/8/2019,9:00,363,330,33
9/8/2019,10:00,490,447,43
9/8/2019,11:00,581,557,24
9/8/2019,12:00,666,641,25
9/8/2019,13:00,525,499,26
9/8/2019,14:00,495,464,31
9/8/2019,15:00,529,507,22
9/8/2019,16:00,650,613,37
9/8/2019,17:00,703,657,46
9/8/2019,18:00,521,478,43
9/8/2019,19:00,494,454,40
9/8/2019,20:00,375,364,11
9/8/2019,21:00,237,235,2
9/8/2019,22:00,145,144,1
9/8/2019,23:00,73,73,0
10/8/2019,0:00,30,30,0
10/8/2019,1:00,17,15,2
10/8/2019,2:00,12,11,1
10/8/2019,3:00,13,11,2
10/8/2019,4:00,0,0,0
10/8/2019,5:00,31,26,5
10/8/2019,6:00,138,118,20
10/8/2019,7:00,272,211,61
10/8/2019,8:00,340,306,34
10/8/2019,9:00,436,373,63
10/8/2019,10:00,445,394,51
10/8/2019,11:00,453,414,39
10/8/2019,12:00,503,462,41
10/8/2019,13:00,497,470,27
10/8/2019,14:00,441,393,48
10/8/2019,15:00,376,354,22
10/8/2019,16:00,389,349,40
