Date,,West of Grandview,West of Grandview Pedestrians Westbound,West of Grandview Pedestrians Eastbound,West of Grandview Cyclists Westbound,West of Grandview Cyclists Eastbound
24/09/2019,0:00,0,0,0,0,0
24/09/2019,1:00,0,0,0,0,0
24/09/2019,2:00,0,0,0,0,0
24/09/2019,3:00,0,0,0,0,0
24/09/2019,4:00,0,0,0,0,0
24/09/2019,5:00,0,0,0,0,0
24/09/2019,6:00,0,0,0,0,0
24/09/2019,7:00,0,0,0,0,0
24/09/2019,8:00,0,0,0,0,0
24/09/2019,9:00,23,7,5,6,5
24/09/2019,10:00,24,0,0,13,11
24/09/2019,11:00,18,0,0,10,8
24/09/2019,12:00,20,0,0,11,9
24/09/2019,13:00,19,0,0,11,8
24/09/2019,14:00,43,0,0,22,21
24/09/2019,15:00,35,0,0,18,17
24/09/2019,16:00,28,0,0,15,13
24/09/2019,17:00,59,0,0,31,28
24/09/2019,18:00,38,0,0,20,18
24/09/2019,19:00,17,0,0,10,7
24/09/2019,20:00,3,0,0,2,1
24/09/2019,21:00,5,0,0,3,2
24/09/2019,22:00,0,0,0,0,0
24/09/2019,23:00,1,0,0,1,0
25/09/2019,0:00,0,0,0,0,0
25/09/2019,1:00,0,0,0,0,0
25/09/2019,2:00,0,0,0,0,0
25/09/2019,3:00,0,0,0,0,0
25/09/2019,4:00,0,0,0,0,0
25/09/2019,5:00,0,0,0,0,0
25/09/2019,6:00,1,0,0,1,0
25/09/2019,7:00,9,0,0,6,3
25/09/2019,8:00,8,0,0,6,2
25/09/2019,9:00,10,0,0,6,4
25/09/2019,10:00,7,0,0,4,3
25/09/2019,11:00,15,0,0,8,7
25/09/2019,12:00,15,0,0,9,6
25/09/2019,13:00,15,0,0,8,7
25/09/2019,14:00,31,0,0,16,15
25/09/2019,15:00,30,0,0,16,14
25/09/2019,16:00,30,0,0,16,14
25/09/2019,17:00,62,0,0,31,31
25/09/2019,18:00,36,0,0,19,17
25/09/2019,19:00,18,0,0,9,9
25/09/2019,20:00,1,0,0,1,0
25/09/2019,21:00,1,0,0,1,0
25/09/2019,22:00,0,0,0,0,0
25/09/2019,23:00,0,0,0,0,0
26/09/2019,0:00,0,0,0,0,0
26/09/2019,1:00,0,0,0,0,0
26/09/2019,2:00,0,0,0,0,0
26/09/2019,3:00,0,0,0,0,0
26/09/2019,4:00,0,0,0,0,0
26/09/2019,5:00,3,0,0,3,0
26/09/2019,6:00,9,0,0,6,3
26/09/2019,7:00,20,0,0,11,9
26/09/2019,8:00,17,0,0,9,8
26/09/2019,9:00,24,0,0,13,11
26/09/2019,10:00,24,0,0,13,11
26/09/2019,11:00,25,0,0,13,12
26/09/2019,12:00,21,0,0,12,9
26/09/2019,13:00,24,0,0,13,11
26/09/2019,14:00,25,0,0,14,11
26/09/2019,15:00,37,0,0,20,17
26/09/2019,16:00,40,0,0,21,19
26/09/2019,17:00,61,0,0,32,29
26/09/2019,18:00,51,0,0,27,24
26/09/2019,19:00,19,0,0,10,9
26/09/2019,20:00,2,0,0,2,0
26/09/2019,21:00,2,0,0,1,1
26/09/2019,22:00,0,0,0,0,0
26/09/2019,23:00,1,0,0,1,0
27/09/2019,0:00,0,0,0,0,0
27/09/2019,1:00,0,0,0,0,0
27/09/2019,2:00,0,0,0,0,0
27/09/2019,3:00,0,0,0,0,0
27/09/2019,4:00,0,0,0,0,0
27/09/2019,5:00,1,0,0,1,0
27/09/2019,6:00,13,0,0,7,6
27/09/2019,7:00,16,0,0,9,7
27/09/2019,8:00,16,0,0,9,7
27/09/2019,9:00,16,0,0,8,8
27/09/2019,10:00,14,0,0,9,5
27/09/2019,11:00,2,0,0,2,0
27/09/2019,12:00,1,0,0,1,0
27/09/2019,13:00,3,0,0,2,1
27/09/2019,14:00,2,0,0,2,0
27/09/2019,15:00,10,0,0,6,4
27/09/2019,16:00,8,0,0,4,4
27/09/2019,17:00,17,0,0,9,8
27/09/2019,18:00,23,0,0,13,10
27/09/2019,19:00,4,0,0,2,2
27/09/2019,20:00,0,0,0,0,0
27/09/2019,21:00,1,0,0,1,0
27/09/2019,22:00,0,0,0,0,0
27/09/2019,23:00,0,0,0,0,0
28/09/2019,0:00,0,0,0,0,0
28/09/2019,1:00,0,0,0,0,0
28/09/2019,2:00,0,0,0,0,0
28/09/2019,3:00,0,0,0,0,0
28/09/2019,4:00,0,0,0,0,0
28/09/2019,5:00,0,0,0,0,0
28/09/2019,6:00,0,0,0,0,0
28/09/2019,7:00,10,0,0,6,4
28/09/2019,8:00,18,0,0,11,7
28/09/2019,9:00,35,0,0,18,17
28/09/2019,10:00,38,0,0,19,19
28/09/2019,11:00,62,0,0,32,30
28/09/2019,12:00,41,0,0,22,19
28/09/2019,13:00,43,0,0,23,20
28/09/2019,14:00,44,0,0,24,20
28/09/2019,15:00,30,0,0,16,14
28/09/2019,16:00,34,0,0,18,16
28/09/2019,17:00,16,0,0,9,7
28/09/2019,18:00,26,0,0,14,12
28/09/2019,19:00,2,0,0,1,1
28/09/2019,20:00,0,0,0,0,0
28/09/2019,21:00,0,0,0,0,0
28/09/2019,22:00,2,0,0,1,1
28/09/2019,23:00,0,0,0,0,0
29/09/2019,0:00,3,0,0,2,1
29/09/2019,1:00,0,0,0,0,0
29/09/2019,2:00,0,0,0,0,0
29/09/2019,3:00,0,0,0,0,0
29/09/2019,4:00,0,0,0,0,0
29/09/2019,5:00,0,0,0,0,0
29/09/2019,6:00,0,0,0,0,0
29/09/2019,7:00,1,0,0,1,0
29/09/2019,8:00,12,0,0,7,5
29/09/2019,9:00,29,0,0,15,14
29/09/2019,10:00,53,0,0,27,26
29/09/2019,11:00,64,0,0,33,31
29/09/2019,12:00,47,0,0,24,23
29/09/2019,13:00,31,0,0,17,14
29/09/2019,14:00,32,0,0,17,15
29/09/2019,15:00,32,0,0,17,15
29/09/2019,16:00,45,0,0,23,22
29/09/2019,17:00,2,0,0,2,0
29/09/2019,18:00,6,0,0,3,3
29/09/2019,19:00,5,0,0,4,1
29/09/2019,20:00,0,0,0,0,0
29/09/2019,21:00,1,0,0,1,0
29/09/2019,22:00,0,0,0,0,0
29/09/2019,23:00,0,0,0,0,0
30/09/2019,0:00,0,0,0,0,0
