Date,,Heartland CC,Heartland CC Pedestrians,Heartland CC Cyclists
06/09/2018,00:00,0,0,0
06/09/2018,01:00,0,0,0
06/09/2018,02:00,95,95,0
06/09/2018,03:00,179,179,0
06/09/2018,04:00,25,25,0
06/09/2018,05:00,8,8,0
06/09/2018,06:00,78,78,0
06/09/2018,07:00,0,0,0
06/09/2018,08:00,0,0,0
06/09/2018,09:00,0,0,0
06/09/2018,10:00,0,0,0
06/09/2018,11:00,0,0,0
06/09/2018,12:00,0,0,0
06/09/2018,13:00,0,0,0
06/09/2018,14:00,0,0,0
06/09/2018,15:00,0,0,0
06/09/2018,16:00,0,0,0
06/09/2018,17:00,0,0,0
06/09/2018,18:00,0,0,0
06/09/2018,19:00,0,0,0
06/09/2018,20:00,0,0,0
06/09/2018,21:00,0,0,0
06/09/2018,22:00,0,0,0
06/09/2018,23:00,0,0,0
07/09/2018,00:00,0,0,0
07/09/2018,01:00,119,119,0
07/09/2018,02:00,0,0,0
07/09/2018,03:00,0,0,0
07/09/2018,04:00,0,0,0
07/09/2018,05:00,0,0,0
07/09/2018,06:00,0,0,0
07/09/2018,07:00,0,0,0
07/09/2018,08:00,0,0,0
07/09/2018,09:00,0,0,0
07/09/2018,10:00,0,0,0
07/09/2018,11:00,0,0,0
07/09/2018,12:00,0,0,0
07/09/2018,13:00,0,0,0
07/09/2018,14:00,0,0,0
07/09/2018,15:00,0,0,0
07/09/2018,16:00,0,0,0
07/09/2018,17:00,0,0,0
07/09/2018,18:00,0,0,0
07/09/2018,19:00,0,0,0
07/09/2018,20:00,0,0,0
07/09/2018,21:00,0,0,0
07/09/2018,22:00,0,0,0
07/09/2018,23:00,0,0,0
08/09/2018,00:00,0,0,0
08/09/2018,01:00,0,0,0
08/09/2018,02:00,0,0,0
08/09/2018,03:00,0,0,0
08/09/2018,04:00,0,0,0
08/09/2018,05:00,0,0,0
08/09/2018,06:00,0,0,0
08/09/2018,07:00,0,0,0
08/09/2018,08:00,0,0,0
08/09/2018,09:00,0,0,0
08/09/2018,10:00,0,0,0
08/09/2018,11:00,0,0,0
08/09/2018,12:00,0,0,0
08/09/2018,13:00,0,0,0
08/09/2018,14:00,0,0,0
08/09/2018,15:00,0,0,0
08/09/2018,16:00,0,0,0
08/09/2018,17:00,0,0,0
08/09/2018,18:00,0,0,0
08/09/2018,19:00,0,0,0
08/09/2018,20:00,0,0,0
08/09/2018,21:00,0,0,0
08/09/2018,22:00,0,0,0
08/09/2018,23:00,0,0,0
09/09/2018,00:00,0,0,0
09/09/2018,01:00,0,0,0
09/09/2018,02:00,0,0,0
09/09/2018,03:00,0,0,0
09/09/2018,04:00,0,0,0
09/09/2018,05:00,0,0,0
09/09/2018,06:00,0,0,0
09/09/2018,07:00,0,0,0
09/09/2018,08:00,0,0,0
09/09/2018,09:00,0,0,0
09/09/2018,10:00,0,0,0
09/09/2018,11:00,0,0,0
09/09/2018,12:00,0,0,0
09/09/2018,13:00,0,0,0
09/09/2018,14:00,0,0,0
09/09/2018,15:00,0,0,0
09/09/2018,16:00,0,0,0
09/09/2018,17:00,0,0,0
09/09/2018,18:00,0,0,0
09/09/2018,19:00,0,0,0
09/09/2018,20:00,0,0,0
09/09/2018,21:00,0,0,0
09/09/2018,22:00,0,0,0
09/09/2018,23:00,0,0,0
10/09/2018,00:00,0,0,0
10/09/2018,01:00,0,0,0
10/09/2018,02:00,0,0,0
10/09/2018,03:00,0,0,0
10/09/2018,04:00,0,0,0
10/09/2018,05:00,0,0,0
10/09/2018,06:00,0,0,0
10/09/2018,07:00,0,0,0
10/09/2018,08:00,0,0,0
10/09/2018,09:00,0,0,0
10/09/2018,10:00,0,0,0
10/09/2018,11:00,0,0,0
10/09/2018,12:00,0,0,0
10/09/2018,13:00,0,0,0
10/09/2018,14:00,0,0,0
10/09/2018,15:00,0,0,0
10/09/2018,16:00,0,0,0
10/09/2018,17:00,0,0,0
10/09/2018,18:00,0,0,0
10/09/2018,19:00,0,0,0
10/09/2018,20:00,0,0,0
10/09/2018,21:00,0,0,0
10/09/2018,22:00,0,0,0
10/09/2018,23:00,0,0,0
11/09/2018,00:00,0,0,0
11/09/2018,01:00,0,0,0
11/09/2018,02:00,0,0,0
11/09/2018,03:00,0,0,0
11/09/2018,04:00,0,0,0
11/09/2018,05:00,0,0,0
11/09/2018,06:00,0,0,0
11/09/2018,07:00,0,0,0
11/09/2018,08:00,0,0,0
11/09/2018,09:00,0,0,0
11/09/2018,10:00,0,0,0
11/09/2018,11:00,0,0,0
11/09/2018,12:00,0,0,0
11/09/2018,13:00,0,0,0
11/09/2018,14:00,0,0,0
11/09/2018,15:00,0,0,0
11/09/2018,16:00,0,0,0
11/09/2018,17:00,0,0,0
11/09/2018,18:00,0,0,0
11/09/2018,19:00,0,0,0
11/09/2018,20:00,0,0,0
11/09/2018,21:00,0,0,0
11/09/2018,22:00,0,0,0
11/09/2018,23:00,0,0,0
12/09/2018,00:00,0,0,0
12/09/2018,01:00,0,0,0
12/09/2018,02:00,0,0,0
12/09/2018,03:00,0,0,0
12/09/2018,04:00,0,0,0
12/09/2018,05:00,0,0,0
12/09/2018,06:00,0,0,0
12/09/2018,07:00,0,0,0
12/09/2018,08:00,0,0,0
12/09/2018,09:00,0,0,0
12/09/2018,10:00,0,0,0
12/09/2018,11:00,0,0,0
12/09/2018,12:00,0,0,0
12/09/2018,13:00,0,0,0
12/09/2018,14:00,0,0,0
12/09/2018,15:00,0,0,0
12/09/2018,16:00,0,0,0
12/09/2018,17:00,0,0,0
12/09/2018,18:00,0,0,0
12/09/2018,19:00,0,0,0
12/09/2018,20:00,0,0,0
12/09/2018,21:00,0,0,0
12/09/2018,22:00,0,0,0
12/09/2018,23:00,0,0,0
13/09/2018,00:00,0,0,0
13/09/2018,01:00,0,0,0
