Date,,West Side Counter,West Side Counter Pedestrians,West Side Counter Cyclists
24/07/2019,00:00,,,
24/07/2019,01:00,,,
24/07/2019,02:00,,,
24/07/2019,03:00,,,
24/07/2019,04:00,,,
24/07/2019,05:00,,,
24/07/2019,06:00,,,
24/07/2019,07:00,,,
24/07/2019,08:00,,,
24/07/2019,09:00,,,
24/07/2019,10:00,,,
24/07/2019,11:00,,,
24/07/2019,12:00,,,
24/07/2019,13:00,,,
24/07/2019,14:00,4,4,0
24/07/2019,15:00,14,5,9
24/07/2019,16:00,3,2,1
24/07/2019,17:00,7,5,2
24/07/2019,18:00,36,6,30
24/07/2019,19:00,12,4,8
24/07/2019,20:00,2,2,0
24/07/2019,21:00,0,0,0
24/07/2019,22:00,0,0,0
24/07/2019,23:00,0,0,0
25/07/2019,00:00,0,0,0
25/07/2019,01:00,0,0,0
25/07/2019,02:00,0,0,0
25/07/2019,03:00,0,0,0
25/07/2019,04:00,0,0,0
25/07/2019,05:00,0,0,0
25/07/2019,06:00,3,0,3
25/07/2019,07:00,0,0,0
25/07/2019,08:00,11,2,9
25/07/2019,09:00,21,12,9
25/07/2019,10:00,5,4,1
25/07/2019,11:00,4,2,2
25/07/2019,12:00,4,4,0
25/07/2019,13:00,0,0,0
25/07/2019,14:00,7,5,2
25/07/2019,15:00,2,2,0
25/07/2019,16:00,10,5,5
25/07/2019,17:00,13,3,10
25/07/2019,18:00,25,12,13
25/07/2019,19:00,3,1,2
25/07/2019,20:00,5,4,1
25/07/2019,21:00,0,0,0
25/07/2019,22:00,0,0,0
25/07/2019,23:00,0,0,0
26/07/2019,00:00,0,0,0
26/07/2019,01:00,0,0,0
26/07/2019,02:00,0,0,0
26/07/2019,03:00,0,0,0
26/07/2019,04:00,0,0,0
26/07/2019,05:00,1,1,0
26/07/2019,06:00,7,3,4
26/07/2019,07:00,2,1,1
26/07/2019,08:00,10,3,7
26/07/2019,09:00,14,7,7
26/07/2019,10:00,12,8,4
26/07/2019,11:00,11,2,9
26/07/2019,12:00,4,2,2
26/07/2019,13:00,3,3,0
26/07/2019,14:00,4,2,2
26/07/2019,15:00,13,1,12
26/07/2019,16:00,11,0,11
26/07/2019,17:00,15,4,11
26/07/2019,18:00,36,7,29
26/07/2019,19:00,7,6,1
26/07/2019,20:00,0,0,0
26/07/2019,21:00,0,0,0
26/07/2019,22:00,0,0,0
26/07/2019,23:00,0,0,0
27/07/2019,00:00,0,0,0
27/07/2019,01:00,0,0,0
27/07/2019,02:00,0,0,0
27/07/2019,03:00,0,0,0
27/07/2019,04:00,0,0,0
27/07/2019,05:00,2,2,0
27/07/2019,06:00,4,2,2
27/07/2019,07:00,12,8,4
27/07/2019,08:00,7,3,4
27/07/2019,09:00,16,4,12
27/07/2019,10:00,24,8,16
27/07/2019,11:00,8,6,2
27/07/2019,12:00,18,9,9
27/07/2019,13:00,27,9,18
27/07/2019,14:00,4,4,0
27/07/2019,15:00,6,2,4
27/07/2019,16:00,0,0,0
27/07/2019,17:00,3,3,0
27/07/2019,18:00,9,7,2
27/07/2019,19:00,5,2,3
