Date,,East Side Counter,East Side Counter Pedestrians,East Side Counter Cyclists
07/11/2019,00:00,0,0,0
07/11/2019,01:00,0,0,0
07/11/2019,02:00,0,0,0
07/11/2019,03:00,0,0,0
07/11/2019,04:00,1,1,0
07/11/2019,05:00,3,3,0
07/11/2019,06:00,8,8,0
07/11/2019,07:00,1,1,0
07/11/2019,08:00,2,2,0
07/11/2019,09:00,0,0,0
07/11/2019,10:00,3,3,0
07/11/2019,11:00,1,1,0
07/11/2019,12:00,0,0,0
07/11/2019,13:00,1,0,1
07/11/2019,14:00,2,0,2
07/11/2019,15:00,103,103,0
07/11/2019,16:00,0,0,0
07/11/2019,17:00,0,0,0
07/11/2019,18:00,0,0,0
07/11/2019,19:00,0,0,0
07/11/2019,20:00,0,0,0
07/11/2019,21:00,0,0,0
07/11/2019,22:00,0,0,0
07/11/2019,23:00,0,0,0
08/11/2019,00:00,0,0,0
08/11/2019,01:00,0,0,0
08/11/2019,02:00,0,0,0
08/11/2019,03:00,0,0,0
08/11/2019,04:00,0,0,0
08/11/2019,05:00,0,0,0
08/11/2019,06:00,1,1,0
08/11/2019,07:00,2,1,1
08/11/2019,08:00,0,0,0
08/11/2019,09:00,6,6,0
08/11/2019,10:00,3,3,0
08/11/2019,11:00,0,0,0
08/11/2019,12:00,0,0,0
08/11/2019,13:00,0,0,0
08/11/2019,14:00,1,1,0
08/11/2019,15:00,1,1,0
08/11/2019,16:00,7,7,0
08/11/2019,17:00,0,0,0
08/11/2019,18:00,0,0,0
08/11/2019,19:00,0,0,0
08/11/2019,20:00,0,0,0
08/11/2019,21:00,0,0,0
08/11/2019,22:00,0,0,0
08/11/2019,23:00,0,0,0
09/11/2019,00:00,0,0,0
09/11/2019,01:00,0,0,0
09/11/2019,02:00,0,0,0
09/11/2019,03:00,0,0,0
09/11/2019,04:00,0,0,0
09/11/2019,05:00,0,0,0
09/11/2019,06:00,0,0,0
09/11/2019,07:00,0,0,0
09/11/2019,08:00,5,5,0
09/11/2019,09:00,1,1,0
09/11/2019,10:00,2,2,0
09/11/2019,11:00,1,1,0
09/11/2019,12:00,0,0,0
09/11/2019,13:00,2,2,0
09/11/2019,14:00,5,5,0
09/11/2019,15:00,4,4,0
09/11/2019,16:00,1,1,0
09/11/2019,17:00,0,0,0
09/11/2019,18:00,0,0,0
09/11/2019,19:00,0,0,0
09/11/2019,20:00,0,0,0
09/11/2019,21:00,0,0,0
09/11/2019,22:00,0,0,0
09/11/2019,23:00,0,0,0
10/11/2019,00:00,0,0,0
10/11/2019,01:00,0,0,0
10/11/2019,02:00,0,0,0
10/11/2019,03:00,0,0,0
10/11/2019,04:00,0,0,0
10/11/2019,05:00,0,0,0
10/11/2019,06:00,0,0,0
10/11/2019,07:00,3,3,0
10/11/2019,08:00,8,8,0
10/11/2019,09:00,21,21,0
10/11/2019,10:00,4,4,0
10/11/2019,11:00,0,0,0
10/11/2019,12:00,9,9,0
10/11/2019,13:00,2,2,0
10/11/2019,14:00,12,11,1
10/11/2019,15:00,21,12,9
10/11/2019,16:00,3,3,0
10/11/2019,17:00,4,3,1
